experiment,alpha,symmetric,nonneg,similarity,sparse_acc,orig_acc,nonzero_frac
baseline (Exp 1),0.0,False,False,1.0005919933319092,0.9674999713897705,0.9674000144004822,
L1 α=0.001,0.001,False,False,1.0005985498428345,0.9674999713897705,0.9674000144004822,0.9977778196334839
L1 α=0.01,0.01,False,False,1.0005640983581543,0.9677000045776367,0.9674000144004822,0.9940210282802582
L1 α=0.1,0.1,False,False,1.0004212856292725,0.9677000045776367,0.9674000144004822,0.9492585957050323
symmetric+L1 α=0.1,0.1,True,False,0.9943991303443909,0.9656999707221985,0.9674000144004822,
nonneg+L1 α=0.1,0.1,False,True,0.9841806888580322,0.9663000106811523,0.9674000144004822,
dictionary learning (Exp 5),0.001,False,False,0.019910812377929688,0.2184000015258789,0.9674000144004822,
